Message;Group;DK;EN;Parent
abbrCol;column;Forkortelse;Abbreviation;
countryCol;column;Land;Country;
currencyCol;column;Valuta;Currency;
daysCol;column;Antal dage;Days;
descCol;column;Beskrivelse;Description;
descriptionCol;column;Beskrivelse;Description;
dkTextCol;column;Dansk text;Danish text;
emailCol;column;Email;Email;
enTextCol;column;Engelsk text;English text;
itemCol;column;Vare;Item;
itemNoCol;column;Varenummer;Item number;
languageCol;column;Sprog;Language;
msgCol;column;Besked;Message;
msgGroupCol;column;Besked gruppe;Message group;
parentCol;column;Forælder;Parent;
phoneCol;column;Telefonnummer; Phone number;
termsCol;column;Betalingsbetingelser;Payment terms;
unitPriceCol;column;Enhedspris;Unit price;
UOMCol;column;Måleenhed;Unit of measure;
userNameCol;column;Brugernavn;Email;
usrGroupCol;column;Bruger gruppe;User group;
usersCol;column;Brugere tilknyttet gruppe;Users assigned to group;
VATCol;column;Momssats;VAT;
alreadyConfirmed;error;Din profil er allerede bekræftet;Your profile already confirmed;
alreadyLoggedIn;error;Du er allerede logget ind;You are already logged in;
alreadyRegistered;error;Du har allerede en konto;You already have an account;
countryExists;error; findes allerede;The country already exist;
currencyExists;error; findes allerede;The currency already exist;
cvrCheckError;error;Indtast venligst et gyldigt CVR nummer;Please enter a valid VAT number;
deleteAdmin;error;Du kan ikke slette en administrator;You cannot delete an administrator;
deleteSelf;error;Du kan ikke slette din egen bruger;You cannot delete your own user;
error;error;Fejl;Error;
grpExists;error;Gruppen findes allerede;The group already exists;
itemExists;error; findes allerede;The item already exist;
loginError;error;Den indtastede bruger/kodeords kombination findes ikke;The user/password combination does not exist;
modifyAdmin;error;Du kan ikke rette denne bruger;You cannot edit this user;
msgExists;error;Beskeden findes allerede;The message already exists;
notConfirmed;error;Din profil er endnu ikke bekræftet;Your profile is not confirmed;
termsExists;error;Betalingsbetingelsen findes allerede;The unit of measure already exist;
uomExists;error;Måleenheden findes allerede;The unit of measure already exist;
userDoesNotExist;error;Brugeren findes ikke;The user does not exist;
userExists;error;Brugeren findes allerede;User already exists;
wrongCredentials;error;Forkert brugernavn eller adgangskode;Wrong user / password combination;
accountExists;info;Dette CVR-nummer har allerede en konto hos os, log venligst ind med din mail/adgangskode;This VAT Number already has an account, please login to manage your account;
confirmSignup;info;Bekræft tilmelding;Confirm signup;
info;info;Information;Info;
abbrLabel;label;Forkortelse;Abbreviation;
addr2Label;label;Adresse2;Address2;
addrLabel;label;Adresse;Address;
cityLabel;label;By;City;
companyNameLabel;label;Firmanavn;Company name;
countryLabel;label;Land;Country;
currencyLabel;label;Valuta;Currency;
daysLabel;label;Dage;Days;
descLabel;label;Beskrivelse;Description;
dkTextLabel;label;Dansk text;Danish text;
emailLabel;label;Email;Email;
enTextLabel;label;Engelsk text;English text;
groupLabel;label;Bruger / email gruppe;User / Email group;
groupsLabel;label;Grupper;Groups;
isAdminLabel;label;Er brugeren administrator?;Administrator?;
isSuLabel;label;Er brugeren superbruger?;Superuser?;
itemLabel;label;Vare;Item;
itemNoLabel;label;Varenummer;Item number;
languageLabel;label;Sprog;Language;
messageLabel;label;Besked;Message;
msgGrpLabel;label;Besked gruppe;Message group;
parentLabel;label;Forælder;Parent;
passwordLabel;label;Kodeord;Password;
phoneLabel;label;Telefonnummer;Phone number;
postcodeLabel;label;Postnummer;Post code;
termsLabel;label;Betalingsbetingelser;Payment terms;
unitPriceLabel;label;Enhedspris;Unit price;
UOMLabel;label;Måleenhed;Unit of measure;
usernameLabel;label;Brugernavn;Username;
usersLabel;label;Brugere;Users;
VATLabel;label;Moms sats i %;VAT amount in %;
VATNumberLabel;label;CVR Nummer;VAT number;
accountCreated;success;Konto er oprettet, for at låse alle funktioner op skal du verificere kontoen, dette gøres gennem den mail du netop har modtaget.;Account has been created, please validate your account in the email sent to your mail-address.;
accountVerified;success;Din konto er nu verificeret;Your account is now verified;
countryDeleted;success;Landet er slettet;The country has been deleted;
countryNew;success; er oprettet; unit of measure has been created;
countryUpdated;success;Landet er opdateret;The country has been updated;
currencyDeleted;success;Valutaen er slettet;The currency has been deleted;
currencyNew;success; er oprettet; unit of measure has been created;
